Clustering Technique,Algorithm,Scalability,Complexity,Shape of suitable dataset,Sensitive to outliers/noise,Pros,Cons,Evaluation criteria
Kernel based,kernel k-means,Middle,High(kernel),Arbitrary,Little,"More easy to cluster in the high dimensional feature space, suitable for data with arbitrary shape, able to analyze the noise and separate the overlapping clusters, and not needed to have the preliminary knowledge about the topology
of data","The clustering result sensitive to the type of kernel and its parameters,
time complexity being high, and not suitable for large-scale data.","Cluster Validity 
index based on 
Density-involved Distance(CVDD)
https://link.springer.com/chapter/10.1007/978-3-030-73819-8_19#Sec12"
Kernel based,kernel SOM,High,High(kernel),Arbitrary,Little,,,
Kernel based,kernel FCM,Middle,High(kernel),Arbitrary,Little,,,
Kernel based,SVC,Low,High(kernel),Arbitrary,Little,,,
Kernel based,MMC,Low,High(kernel),Arbitrary,Little,,,
Kernel based,MKC,Low,High(kernel),Arbitrary,Little,,,
Ensemble based,,,*,,*,"Robust, scalable, able to be parallel and taking advantage of the strengths of the involved algorithms","Inadequate understanding about the difference among the initial
clustering results, existing deficiencies of the design of the consensus function","NMI-based cluster evaluator, the MAX-based cluster evaluator and the APMM-based cluster evaluator
https://link.springer.com/article/10.1007/s10462-018-9642-2"
Swarm intelligence based,ACO based,Low,High(iterations),Arbitrary,Little,"Algorithm with the character of overcoming being easily drawn into local optimal and getting the global optimal, easy to understand the algorithm","Low scalability, low operating efficiency and not suitable for high
dimensional or large-scale data","Silhouette statistic index,
Dunn index, Caliński–Harabasz 
index, the CS index, the 
Davies–Bouldin index
https://doi.org/10.1109/TSMCB.2012.2188509"
,PSO based,Low,High(iterations),Arbitrary,Moderately,,,
,SFLA based,Low,High(iterations),Arbitrary,Moderately,,,
,ABC based,Low,High(iterations),Arbitrary,Moderately,,,
Quantum theory based,QC,Middle,High(Schrodinger equation + iterations),Convex,Little,"The number of parameters
involved in this kind of 
algorithm being small, 
the determination of the 
center of a cluster based 
on the potential information of sample data","The clustering result sensitive to the parameters of the algorithm,
the algorithm model not able to describe the change law of data completely","Jaccard Measure and the Efficiency of clusters
https://www.academia.edu/download/54340950/IRJET-V3I11272.pdf"
,DQC,Middle,Middle(Schrodinger equation),Convex,Little,,,
Spectral ,SM,Middle,High(eigenvector + heuristics),Arbitrary,Little,"Suitable for the data set with arbitrary shape and high dimension,
converged to the global optimal, only the similarity matrix needed as the input,
and not sensitive to the outliers","The clustering result sensitive to the scaling parameter, time complexity
relatively high, unclear about the construction of similarity matrix, the
selection of eigenvector not optimized and the number of clusters needed to be
preset","Adjusted Rand, Jaccard, Normalized mutual information and
Fowlkes Mallows
https://doi.org/10.1371/journal.pone.0210236"
Spectral ,NJW,Middle,High(eigenvector),Arbitrary,Little,,,
Affinity propagation based,AP,Low,High(O(n2logn),Convex,Moderately,"Simple and clear algorithm idea, insensitive to the outliers and the
number of clusters not needed to be preset","High time complexity, not suitable for very large data set, and the
clustering result sensitive to the parameters involved in AP algorithm","Sum of similarities, clustering accuracy, normalized mutual information
https://doi.org/10.1109/ACCESS.2020.3012740"
Density and distance based,DD,Low,High(O(n2),Arbitrary,Little,"Simple and clear algorithm idea, suitable for the data set with arbitrary
shape and insensitive to the outliers","Relatively high time complexity, relatively strong subjectivity for
the selection of the cluster center based on the decision graph and the clustering
result sensitive to the parameters involved in DD algorithm","Ajusted Rand Index
https://doi.org/10.1109/ACCESS.2017.2780109"
For Spatial data,DBSCAN,*,*,*,*,,,"Compactness index (CPI), separation index (SPI), Davies–Bouldin index (DBI) and the connectivity index (CNI)
https://doi.org/10.1016/j.future.2020.06.053"
,STING,*,*,*,*,,,
,Wavecluster,High,Low(O(n)),Arbitrary,,,,
,CLARANS,*,*,*,*,,,
For Data stream,STREAM,Middle,Low(O(kn)),Convex,Highly,,,"Cluster Mapping 
Measure
https://doi.org/10.1145/2020408.2020555"
,HPStream,High,*,Convex,Highly,,,
,CluStream,High,Low(O(Offline + Online)),Convex,Highly,,,
,DenStream,High,*,Arbitrary,Little,,,
For Large scale data,BIRCH,*,*,*,*,,,"External criterion which measures
the degree of correspondence between the clusters obtained from our clustering algorithms
and the classes assigned a priori
https://doi.org/10.1023/A:1009769707641"
,CLARA,*,*,*,*,,,
,CURE,*,*,*,*,,,
,DBSCAN,*,*,*,*,,,
,DENCLUE,Middle,Middle(O(nlogn)),Arbitrary,Little,,,
,Wavecluster,*,*,*,*,,,
,FC,*,*,*,*,,,
,K-Means,*,*,*,*,,,
